New Zealand,Wellington,Australia
Nicaragua,Managua,South America
Niger,Niamey,Africa
Nigeria,Abuja,Africa
North Korea,Pyongyang,Asia
Norway,Oslo,Europe
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palau,Ngerulmud,Australia
Panama,Panama City,South America
Papua New Guinea,Port Moresby,Australia
Paraguay,Asuncion,South America
Peru,Lima,South America
Philippines,Manila,Asia
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Qatar,Doha,Asia
Republic of the Congo,Brazzaville,Africa
Romania,Bucharest,Europe
Russia,Moscow,Europe
Rwanda,Kigali,Africa
Saint Kitts and Nevis,Castries,South America
Saint Lucia,Castries,South America
Saint Vincent and the Grenadines,Kingstown,South America
Samoa,Apia,Australia
San Marino,San Marino,Europe
Sao Tome and Principe,Sao Tome,Africa
Saudi Arabia,Riyadh,Asia
Senegal,Dakar,Africa
Serbia,Belgrade,Europe
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Singapore,Singapore,Asia
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Solomon Islands,Honiara,Australia
Somalia,Mogadishu,Africa
South Africa,Cape town,Africa
South Korea,Seoul,Asia
South Sudan,Juba,Africa
Spain,Madrid,Europe
Sri Lanka,Sri Jayawardenepura Kotte,Asia
Sudan,Khartoum,Africa
Suriname,Paramaribo,South America
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Syria,Damascus,Asia
Taiwan,Taipei,Asia
Tajikistan,Dushanbe,Asia
Tanzania,Dodoma,Africa
Thailand,Bangkok,Asia
Timor-leste,Dili,Asia
Togo,Lome,Africa
Tonga,Nuku'alofa,Australia
Trinidad and Tobago,Port of Spain,South America
Tunisia,Tunis,Africa
Turkey,Ankara,Europe
Turkmenistan,Ashgabat,Asia
Tuvalu,Funafuti,Australia
Uganda,Kampala,Africa
Ukraine,Kiev,Europe
United Arab Emirates,Abu Dhabi,Asia
United Kingdom,London,Europe
United States of America,Washington,North America
Uruguay,Montevideo,South America
Uzbekistan,Tashkent,Asia
Vanuatu,Port Vila,Australia
Vatican City,Vatican City,Europe
Venezuela,Caracas,South America
Vietnam,Hanoi,Asia
Yemen,Sana'a,Asia
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
